일자,시가,고가,저가,종가,거래량
20160805,30580,31280,30500,31220,139177
20160808,31320,31500,31120,31380,222503
20160809,31480,31580,31140,31340,180464
20160810,31340,31400,30680,30820,246807
20160811,30820,31180,30520,31180,210672
20160812,31180,31400,30880,30900,209497
20160816,30900,31520,30900,31360,216862
20160817,31380,31399,31020,31320,148929
20160818,31340,32880,31320,32800,366541
20160819,32760,33500,32720,33500,336103
20160822,33480,33840,33180,33300,252244
20160823,33300,33880,33140,33740,230914
20160824,33600,33640,32720,33060,318771
20160825,32600,33180,32440,32780,283476
20160826,32120,32460,32060,32240,241160
20160829,32040,32800,31940,32800,178515
20160830,32940,33420,32660,32900,156992
20160831,32820,32820,32220,32400,410644
20160901,31660,31760,31260,31740,375803
20160902,31900,32260,31760,31940,163060
20160905,31800,32300,31700,32120,167676
20160906,32140,32900,31940,32860,153203
20160907,32960,33040,32420,32420,191837
20160908,32460,32780,32280,32780,241417
20160909,32220,32360,31280,31500,265168
20160912,29800,30119,29119,29300,529987
20160913,30159,30980,29900,30540,494345
20160919,30760,31380,30720,31160,448163
20160920,31180,31759,31180,31700,258423
20160921,31900,32019,31520,31840,210181
20160922,32000,32820,31980,32360,228599
20160923,31640,31960,31320,31420,365993
20160926,31420,31920,31280,31360,290496
20160927,31000,31500,30660,31380,196688
20160928,31080,31460,31080,31340,174128
20160929,31459,32380,31440,32000,227951
20160930,31800,32300,31700,31960,235254
20161004,32200,32480,32120,32280,261062
20161005,32020,32520,31940,32380,249409
20161006,33920,34000,33340,33820,591163
20161007,34000,34320,33800,34120,521011
20161010,33000,33780,32560,33600,505866
20161011,31999,32500,30900,30900,768543
20161012,29900,30900,29880,30700,781771
20161013,31000,31620,30900,31140,437291
20161014,30960,31760,30940,31540,283179
20161017,31299,32040,30760,31800,255704
20161018,31439,31900,31439,31780,207690
20161019,31580,32860,31500,32500,308891
20161020,32520,33020,32179,32400,206609
20161021,32120,32260,31760,31780,209550
20161024,31860,32159,31800,32160,185799
20161025,31999,32080,31840,31940,197322
20161026,31939,31980,31240,31340,210680
20161027,31420,32340,31120,31460,282340
20161028,31600,32280,31600,32280,204284
20161031,32320,32780,32220,32780,241344
20161101,32600,33040,32240,33040,206948
20161102,32800,33040,32620,32860,201985
20161103,32600,32800,32120,32320,206837
20161104,32100,32680,32100,32540,142077
20161107,32940,33000,32680,32800,153238
20161108,32980,32980,32700,32880,108349
20161109,32920,33140,31820,31920,313672
20161110,32600,33000,32360,32980,235907
20161111,31700,32360,31700,31960,256736
20161114,31899,31919,31040,31060,302666
20161115,31060,31620,30780,30780,273314
20161116,30800,31280,30800,31160,266164
20161117,31100,31520,30900,31360,157411
20161118,31639,31760,31400,31720,189215
20161121,31300,32119,31300,31860,163604
20161122,32140,32900,32000,32800,195022
20161123,33220,33220,32520,32980,253372
20161124,32980,33040,32660,33000,155143
20161125,32820,33040,32660,33000,125538
20161128,33000,33620,32800,33540,265881
20161129,33800,33960,33380,33540,361626
20161130,33540,34940,33540,34920,570704
20161201,34800,35060,34660,34980,310707
20161202,34480,34760,34140,34540,307059
20161205,34340,34680,34220,34360,169692
20161206,34440,35200,34400,34960,280036
20161207,35040,35480,35040,35440,192073
20161208,35980,36020,35520,35800,329251
20161209,35900,35900,35400,35600,213049
20161212,34660,35360,34660,35040,228289
20161213,34620,35440,34620,35320,233689
20161214,35560,35680,35280,35540,149102
20161215,34820,35500,34820,35180,115471
20161216,35300,36020,35200,35860,234954
20161219,35620,36380,35620,35900,108716
20161220,35920,36400,35840,36240,152304
20161221,36360,36600,36020,36100,131042
20161222,36260,36300,35980,36180,127092
20161223,36020,36080,35600,35640,166697
20161226,35600,36000,35560,35960,96472
20161227,35980,36200,35860,35980,93069
20161228,35840,35980,35600,35760,133258
20161229,35420,36040,35400,36040,150329
20170102,35980,36240,35880,36100,93012
20170103,36280,36620,36020,36480,147153
20170104,36500,36520,36100,36160,159435
20170105,36060,36060,35540,35560,219349
20170106,36180,36440,36040,36200,177619
20170109,36600,37500,36560,37220,263898
20170110,37280,37400,37080,37240,181996
20170111,37520,38560,37420,38280,240363
20170112,38000,38800,37980,38800,233383
20170113,38100,38319,37460,37460,319089
20170116,36860,37820,36320,36660,332230
20170117,36580,37460,36580,36960,163014
20170118,37040,37500,36620,36940,177508
20170119,37720,37920,37020,37480,188378
20170120,37120,37420,36880,37200,183700
20170123,37200,38060,37000,38060,176208
20170124,38120,38580,37880,38160,220975
20170125,38340,39400,38320,39400,268677
20170126,39420,40000,39420,39900,304290
20170131,39900,39900,39460,39460,359844
20170201,39540,39660,39039,39120,283008
20170202,39600,39660,39200,39360,300586
20170203,39400,39500,39180,39460,207727
20170206,39580,39660,39140,39560,177214
20170207,39560,39580,38760,38820,280836
20170208,38740,38779,38200,38400,341859
20170209,38779,38840,38219,38400,273883
20170210,38400,38760,38300,38360,220415
20170213,37740,38060,37720,37960,222041
20170214,37960,38260,37320,37580,262483
20170215,37080,37960,37080,37720,283831
20170216,37800,38360,37780,38020,204527
20170217,37560,38040,37280,37860,307549
20170220,38220,38780,38160,38660,149716
20170221,38540,39560,38420,38940,211252
20170222,39000,39340,38980,39300,170789
20170223,39020,39440,39020,39180,204346
20170224,38960,39100,38060,38220,185937
20170227,38020,38140,37700,38060,180674
20170228,38059,38760,37960,38440,301774
20170302,38420,39860,38420,39720,424996
20170303,39340,39720,39160,39620,254174
20170306,39220,40220,39220,40080,244697
20170307,39800,40320,39800,40200,211065
20170308,40200,40620,40140,40200,242819
20170309,40200,40300,40020,40200,287445
20170310,39960,40420,39860,40180,204556
20170313,40039,40980,40039,40600,148482
20170314,40620,41540,40500,41360,226501
20170315,40800,41440,40800,41400,191757
20170316,41800,42180,41540,41840,198663
20170317,41800,42500,41720,42400,252046
20170320,42000,42120,41740,41900,205001
20170321,41780,42680,41760,42560,284403
20170322,41600,42460,41580,42460,328545
20170323,42200,42360,41700,41800,307942
20170324,41600,41980,41080,41500,256163
20170327,41200,41880,41180,41200,243553
20170328,41560,41840,41380,41480,164325
20170329,41740,41960,41580,41780,201865
20170330,41880,42440,41880,41980,164080
20170331,41820,42020,41200,41200,210006
20170403,41400,41720,41300,41440,191588
20170404,41600,42180,41520,42080,245110
20170405,41900,42240,41700,42140,213994
20170406,42000,42080,41600,41840,193668
20170407,41800,41820,41160,41600,200420
20170410,41940,41940,41500,41940,142827
20170411,41940,41940,41580,41600,143458
20170412,41860,41940,41700,41900,165498
20170413,41660,42460,41660,42420,180816
20170414,42160,42260,41760,42020,109257
20170417,42000,42080,41520,41560,104495
20170418,41680,41820,41280,41500,137213
20170419,41299,41420,40900,40900,235258
20170420,40580,40800,40080,40280,422977
20170421,40480,41400,40480,40760,302610
20170424,41260,41260,40920,41240,179803
20170425,41460,42740,41320,42700,385992
20170426,42700,42800,42520,42800,295896
20170427,42700,44520,41960,43840,460645
20170428,45780,45800,44520,44620,453714
20170502,45500,45500,44760,44900,281366
20170504,45700,45700,44860,45520,273802
20170508,45520,47020,45340,47020,391651
20170510,46160,47220,45600,45600,468219
20170511,45420,46180,45220,45500,425557
20170512,45760,46160,45660,45820,188458
20170515,45620,46280,45620,46100,160028
20170516,46660,46800,46100,46380,176075
20170517,46120,46640,46100,46340,148489
20170518,45740,46000,45540,45940,223207
20170519,45640,45780,44720,44720,315247
20170522,45040,45380,44760,45100,352871
20170523,45400,45580,44900,44920,252141
20170524,44860,45300,44800,44880,173508
20170525,45160,45680,44800,45680,260896
20170526,45600,46460,45540,46080,272273
20170529,46220,46400,45380,45620,174791
20170530,45520,45660,44480,44640,248672
20170531,44580,45020,44400,44700,373382
20170601,44860,44900,44400,44680,195070
20170602,45060,45960,45000,45960,249775
20170605,46040,46360,45720,45940,151988
20170607,46500,46500,45240,45300,274588
20170608,45000,45580,45000,45160,279575
20170609,45680,46440,45600,46100,234657
20170612,45420,45600,45140,45380,219086
20170613,45140,45620,45140,45400,172498
20170614,45800,46060,45240,45360,203334
20170615,45680,45920,45180,45680,193140
20170616,45500,45940,45460,45580,348069
20170619,45580,46560,45560,46560,226078
20170620,47240,48140,47220,48140,300900
20170621,47740,48120,47480,47480,199473
20170622,47960,48080,47720,47960,229116
20170623,47600,47780,47420,47620,190302
20170626,47520,48360,47520,48280,171056
20170627,48220,48400,47900,48300,192335
20170628,47600,48000,47560,47700,191450
20170629,48040,48320,47940,47940,166131
20170630,47500,47620,47100,47540,237551
20170703,47500,47780,47120,47220,136111
20170704,47160,47400,46900,47000,159220
20170705,46820,47680,46780,47580,212805
20170706,48000,48100,47720,48060,218461
20170707,47740,48120,47620,47860,162638
20170710,48500,48900,48320,48660,215855
